siteID,domainID,collectDate,year,month,DOC_mgL,TDN_mgL,nitrate_mgL,TDP_mgL,TPC_mgL,TPN_mgL,TPP_mgL,TP_mgL,d13C_perMill,d15N_perMill,DOC_to_TDN_mgL,DOC_to_nitrate_mgL,DOC_to_TDP_mgL,TDN_to_TDP_mgL,TPC_to_TPN_mgL,TPC_to_TPP_mgL,TPN_to_TPP_mgL,DOC_mmolL,TDN_mmolL,TDP_mmolL,TPC_mmolL,TPN_mmolL,TPP_mmolL,DOC_to_TDN_mw,DOC_to_TDP_mw,TDN_to_TDP_mw,TPC_to_TPN_mw,TPC_to_TPP_mw,TPN_to_TPP_mw
POSE,D02,2015-11-03T13:13:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-27.869999999999997,2.4299999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WALK,D07,2015-11-03T15:00:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-29.235,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2015-11-03T18:48:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-29.15,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2015-11-04T15:35:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-27.795,5.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2015-11-10T15:24:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-28.105,5.765000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-11-10T18:33:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-26.935,3.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-11-12T13:54:00Z,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,-28.12,4.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2015-12-01T15:20:00Z,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,-27.68,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-12-08T13:50:00Z,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,-28.36,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2015-12-08T21:41:00Z,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,-26.94,2.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2015-12-15T14:45:00Z,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,-28.229999999999997,4.234999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2015-12-15T17:00:00Z,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,-28.13,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2016-01-06T19:38:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-32.99,5.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUPE,D04,2016-01-12T11:40:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-27.42,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-01-12T14:35:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-27.99,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-01-12T16:19:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-28.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2016-01-14T18:58:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-27.200000000000003,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUIL,D04,2016-01-19T13:22:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-26.31,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-01-22T15:50:00Z,2016,01,NA,NA,NA,NA,NA,NA,NA,NA,-28.695,5.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-02-02T16:48:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-28.185,4.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-02-04T16:11:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-28.615,4.949999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUPE,D04,2016-02-09T11:49:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-29.04,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-02-10T20:15:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-31.275,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUIL,D04,2016-02-16T13:00:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-26.119999999999997,4.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-02-16T18:25:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-28.55,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2016-02-16T19:24:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-30.520000000000003,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-02-18T14:01:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-28.365,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUPE,D04,2016-02-23T12:00:00Z,2016,02,NA,NA,NA,NA,NA,NA,NA,NA,-28.17,0.6699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUIL,D04,2016-03-01T13:04:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-25.905,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2016-03-01T20:20:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-30.765,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-03-02T19:27:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-28.18,5.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-03-03T14:50:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-28.700000000000003,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUPE,D04,2016-03-08T13:22:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-28.595,0.30000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMO,D13,2016-03-08T19:30:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-26.895,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUIL,D04,2016-03-15T11:58:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-26.700000000000003,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-03-15T14:39:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-27.905,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2016-03-15T18:16:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-24.455,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYF,D08,2016-03-18T14:40:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-29.105,4.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-03-22T13:07:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-27.795,4.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUPE,D04,2016-03-22T13:50:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-28.595,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUIL,D04,2016-03-23T12:19:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-25.9,2.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LECO,D07,2016-03-28T14:00:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-28.33,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2016-03-31T21:51:00Z,2016,03,NA,NA,NA,NA,NA,NA,NA,NA,-30.275,5.005000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUIL,D04,2016-04-05T13:19:00Z,2016,04,NA,NA,NA,NA,NA,NA,NA,NA,-25.25,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POSE,D02,2016-04-05T14:06:00Z,2016,04,NA,NA,NA,NA,NA,NA,NA,NA,-28.095,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIK,D10,2016-04-05T20:26:00Z,2016,04,NA,NA,NA,NA,NA,NA,NA,NA,-22.7,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
